"1000000008","1","栗を圧力鍋で８分蒸し、半分に切って中身をスプーンで取り出す。"
"1000000008","2","厚手でぴっちり蓋の閉まる
鍋に移して水を加え、沸騰したら弱火で２～３分煮て火を止めて蓋をし、３０分蒸らす。"
"1000000008","3","ポテトマッシャーでつぶし、砂糖、塩を加える。"
"1000000008","4","弱火にかけ鍋底に膜が付いたら火を止め、少し生地で膜をふやかしてから剥がす、という作業を繰り返して水分を飛ばす。"
"1000000008","5","栗の色が白っぽくなったら味を決めてさらに少し練り、鍋肌に生地を付けて乾燥させながら冷ます。"
"1000000008","6","冷めたらもう一度練って生地を均一にし、ラップで茶巾に絞る。容器にしっかり密閉して冷蔵庫で保存。食べ頃は２日以上置いてから。"
"1000000010","1","ささみはスジを取り茹でる。水で冷やし、水分を拭き取ってから手でさく。"
"1000000010","2","ゴボウはささがき、人参は千切りにして、さっと茹でる。水で冷やして水気をよくきる。
きゅうりは千切り。"
"1000000010","3","材料を全部混ぜ合わせる。"
"1000000012","1","大根を千切りにし、塩を少しもんでしばらくおく。しんなりしたら水気をしぼる。"
"1000000012","2","青じそはみじん切りにする。ツナは油をきっておく。"
"1000000012","3","材料を全部混ぜる。"
"1000000013","1","さんまは頭と尾を切り落とし、腹わたを取る。きれいに洗って４等分にする。"
"1000000013","2","圧力鍋にショウガと調味料を入れ、さんまを並べてフタをする。"
"1000000013","3","圧力鍋を加熱する。１５分加圧し、自然冷却する。"
"1000000013","4","さんまを皿に盛り、汁を煮詰めてかける。"
"1000000014","1","ジャガイモを一口大に切り水にさらす。皿にとってラップをし、レンジでやわらかくする。"
"1000000014","2","フライパンにバターを溶かし、ニンニクのみじん切り、切ったベーコンを加えて炒める。
"
"1000000014","3","ジャガイモを加えて少し炒め、コショウ、バジルも加えて混ぜる。"
"1000000014","4","砂糖、しょう油を合わせてから加え、からませる。お好みでパセリをふりかける。"
"1000000015","1","パウンド型にオイルかバターを塗り、紙をはりつける。"
"1000000015","2","レンジで少し柔らかくしたクリームチーズ、砂糖、レモン汁をボウルに入れてよく混ぜる。"
"1000000015","3","生クリーム、バニラエッセンスを加えて混ぜる。卵を加えて更に混ぜる。コーンスターチを加えて混ぜる。"
"1000000015","4","生地をこしながら型に流し入れる。１７０度に余熱しておいたオーブンで、焼き色をみながら約４５分焼く。"
"1000000015","5","焼きあがったら、ペーパーにラップを重ねて型にかぶせておく。粗熱がとれたら、冷蔵庫でそのまま一晩ねかせる。"
"1000000017","1","小鍋に豆乳を少し温める。"
"1000000017","2","ゼラチンを加えて、よく溶かす。容器にそそぎ、冷蔵庫で冷やし固める。"
"1000000020","1","卵は、ゆで卵にしておきます。
こんにゃくは切れ目を入れ、味をしみやすくします。"
"1000000020","2","大根も食べやすい大きさに切り、切れ目を入れて味をしみやすくします。
大根とこんにゃくをしたゆでします。"
"1000000020","3","がんもどき、厚揚げを適当な大きさに切ります。切ったがんもどき、厚揚げとウィンナーに熱湯をかけ油抜きをしておきます。"
"1000000020","4","はんぺいは市販の人数分用意して量を調整します。
用意したはんぺいに熱湯をかけ油抜きをしておきます。"
"1000000020","5","１，２，３，４の材料を鍋に入れます。
うどん汁を入れ、水を入れます。


"
"1000000020","6","火にかけて、１時間ほどにます。味をみて塩で調整します。









"
"1000000024","1","ぶどうを凍らすとおいしい。
ぶどうは洗わずに、粒の根元に茎を少しつけるようにして料理バサミで切り落とす。
"
"1000000024","2","それをまた洗わずに凍らす。食べる時に洗って、茎を取る。
そうすると水っぽくならないし、粒同士がくっつくこともない。"
"1000000024","3","種なしのほうが食べやすいかな。
皮もつるっとむけるし、皮のまま食べて種と一緒に出してもええ。
今回のぶどうは、巨峰とナイアガラ。"
"1000000031","1","　ごはんを半分に分け、丸い2個のお結びに。黒ごまを目、小さくカットしたにんじんを鼻に配置。"
"1000000031","2","　チーズかまぼこをうさぎのお耳になるようカットしてお結びに刺します。おむすびをお箸などでく窪ませておくと楽。"
"1000000031","3","　ゆで卵は半分にカット。
　りんごは8等分した物を上下に切り分け、皮をうさぎにカット。"
"1000000031","4","　その他、好きなおかずをつめます。"
"1000000032","1","ジャガイモをすりおろし、キッチンペーパーなどを使って軽く水気をきります。
"
"1000000032","2","①フライパンに薄く延ばし焦げないように両面を焼きます。②形が整い硬くなったら、レンジで約2分（ラップをしない)水分を飛ばします。"
"1000000032","3","1度取り出し、フライパンでまた
1分位焼き、またレンジに1～２分かけます。取り出して柔らかいようなら①か②を繰り返して下さい。
"
"1000000033","1","熱したフライパンにサラダ油（小さじ1）を入れ暖めておきます。卵に、付属のタレと・納豆・ねぎを加え、軽くかき混ぜます。"
"1000000033","2","フライパンに材料を入れ、す速くかき混ぜます。卵が半熟状になったら火を止めます。余熱で形を整えたら出来上がり。"
"1000000033","3","（今回は、丸納豆で作りましたが、ひき割り納豆で作ると仕上がりがなめらかになります）"
"1000000035","1","①②③の材料をを深めの器に入れかき混ぜます。ラップをしレンジで30秒あたため、出来上がり。（温めすぎるとこびりつきますので注意）"
"1000000036","1","洗った大根の皮を3ミリ程度の千切りにします。サラダ油を入れたフライパンを熱し、大根の皮を30秒程度いためます。"
"1000000036","2","そこに①②③をいれ、中火で約1分炒め、火を止める直前に
ゴマ油と唐辛子をいれ完成。"
"1000000038","1","温かいコーヒーを用意する。"
"1000000038","2","スキムミルクを入れて混ぜる。
その後に豆乳を入れて混ぜる。"
"1000000039","1","サバは頭と尾を切り落とし、腹わたを取る。きれいに洗って２〜３等分にする。"
"1000000039","3","圧力鍋にショウガ、砂糖、みりん、酒、味噌を入れ、サバを並べてフタをする。"
"1000000039","4","圧力鍋を加熱する。25分加圧し、自然冷却する。"
"1000000039","5","圧が下がったらフタをはずし、Aをサバにかけて３分煮る。"
"1000000039","2","サバにバッテンの切り込みをいれる。ザルにいれて熱湯をかけ臭みをとる。"
"1000000040","1","かぶらを洗い準備する"
"1000000040","3","塩をふりかけ繰り返す"
"1000000040","4","漬物の石をおき一晩おく"
"1000000040","2","いちょう切りにしてボールに入れる"
"1000000040","5","食べる分だけで取り出し、水で洗い、塩おとして器にもり化学調味料ふり出来上がり。"
"1000000041","1","ビニール袋に納豆を入れ、とんがっている所をハサミで切る。ちくわの穴に絞り出す。"
"1000000041","2","天ぷらの衣をつけて、油で揚げる。"
"1000000041","3","付属のタレや醤油をつけて食べる。"
"1000000042","1","材料を準備"
"1000000042","2","もやし、えのきを洗いしたゆでする。(もやしは３０秒、えのきは１０秒ぐらい)
"
"1000000042","4","ラーメンをゆでる。記入の通りにゆでる"
"1000000042","5","ざるに盛りつける"
"1000000042","3","スープを作る。
１袋のスープ半分を使い150ccぐらいの熱湯で薄める"
"1000000043","1","あさり塩水で砂抜きをする。"
"1000000043","2","あさりを入れ火にかける。"
"1000000043","3","沸騰したらあくをとる。"
"1000000043","4","貝が開いたら、醤油を入れ、塩で味を調整してできあがり。"
"1000000044","1","調味料を全部合わせておく。
サツマイモは皮付きのまま５㎝長さの拍子切りにする。油大さじ２を熱したフライパンで10分じっくり炒める。"
"1000000044","2","サツマイモがカリッとしたら皿に取り出す。
同じフライパンで牛肉を炒め、色が変わったら舞茸を加えて少し炒める。"
"1000000044","3","サツマイモを戻し入れ、合わせ調味料を加えてからませる。"
"1000000045","1","材料を全部混ぜ合わせる。"
"1000000045","2","めん棒で３〜５ミリ厚さにのばし、型で抜く。170度のオーブンで18分焼く。"
"1000000046","1","サバは３枚おろしにし、４〜５㎝幅に切り分け、塩コショウ(分量外)をふる。"
"1000000046","2","トマトはくし形に、セロリは筋を取って乱切り、玉ねぎはタテ半分に切りざく切りにする。"
"1000000046","3","サバに小麦粉(分量外)をふり、油をひいたフライパンで皮目から焼き、両面に焼き色をつける。
一度、皿にとる。"
"1000000046","4","同じフライパンに油を熱し玉ねぎを炒める。しんなりしたらAを加えて炒め、水２カップでのばし、トマトジュースと固形スープを加える。"
"1000000046","5","煮立ったらケチャップ、塩、サバ、セロリ、トマトの順に加えて４分煮込む。"
"1000000047","1","イカはハラワタを取って洗い、水分をふく。
１㎝の輪切りにする。ゲソは食べやすく切る。"
"1000000047","2","フライパンに油を熱し、イカと塩を入れて火がとおるまで炒める。"
"1000000047","3","火を止め、マヨネーズを加えてあえる。
皿に盛り、お好みで一味をかける。"
"1000000048","1","しじみを砂抜きしておきます。"
