"1000000008","1000000016","おやつ","和菓子","まんじゅう（饅頭）","栗きんとん","シーズン中はほぼ毎日、規格外の栗で夜なべに栗きんとんを作っています。長年試行錯誤したレシピで、人に差し上げると「お店のより美味しい」とおっしゃっていただるので、疲れていても作っちゃいます。","栗を生産しています。長年試行錯誤して作ってきました。栗きんとんに親しんでいただきたいので、こっそり公開。","1000000008.jpg","栗きんとん","秋の味覚レシピ2010","栗","栗きんとん","圧力鍋","栗は１，５ｋｇ以上のほうが作りやすいです。食べ切れなかったら冷凍保存して自然解凍でどうぞ。一日で作らなくても、１の状態で冷蔵庫に保管し、夕食を準備しながら２〜４をし、一晩冷まして翌日に絞ると楽です。栗正味２０〜２５ｇで一つ分くらい。","6","1,2,3,6,7","4","たくさん","2010-10-01 00:00:00"
"1000000010","1000000024","おかず・おつまみ","肉","鶏肉・チキン","ピリ辛☆ささみの胡麻マヨサラダ","タンパク質、食物繊維、野菜を手軽に食べられると思いました♪","お好みの辛さでどうぞ♪","1000000010.jpg","ささみの胡麻マヨサラダ","サラダ","ピリ辛","簡単","ささみ","よく冷やしてから食べると美味しいです。","3","1,4","3","４","2010-10-01 00:00:00"
"1000000012","1000000024","おかず・おつまみ","野菜","だいこん（大根）","大根とツナのサラダ☆","大根をたくさん食べられると思います♪","青じそがポイント♪","1000000012.jpg","大根とツナのサラダ","サラダ","サッパリ","大根","青じそ","青じそをたくさん入れると、サッパリします♪","3","1,4","2","４","2010-10-01 00:00:00"
"1000000013","1000000024","おかず・おつまみ","魚介・海藻","さんま（秋刀魚）","圧力鍋で☆サンマの生姜煮","骨まで食べられるように♪","骨まで食べられます♪","1000000013.jpg","サンマの煮付け","秋の味覚レシピ2010","秋刀魚","生姜","圧力鍋","黒酢で作ってみても美味しいですよ♪調味料と一緒に一味唐辛子も加えると、ピリ辛になります♪","3","1,4","2","４","2010-10-01 00:00:00"
"1000000014","1000000024","おかず・おつまみ","野菜","じゃがいも・新じゃがいも・ポテト","バジルが香る☆ジャーマンポテト","バジルのレパートリーを増やしたいと思いました♪","じゃがいもがホクホク♪","1000000014.jpg","ジャーマンポテト","秋の味覚レシピ2010","じゃがいも","ベーコン","バジル","ジャガイモは皮付きのままのほうが美味しいですよ(^-^)","3","1,4","2","４","2010-10-01 00:00:00"
"1000000015","1000000024","おやつ","ケーキ","チーズケーキ","濃厚！！ベイクドチーズケーキ☆","パウンド型で作ってみたくて♪","手みやげにどうぞ♪","1000000015.jpg","ベイクドチーズケーキ","ケーキ","生クリーム","ベイクド","クリームチーズ","生地を最後にこすと、なめらか〜に仕上がります♪湯せん焼きをするとニューヨークチーズケーキにもなります(^-^)","5","1,2,3,5,6","3","４","2010-10-01 00:00:00"
"1000000017","1000000024","おやつ","洋菓子","プリン・プディング","ぷるぷる〜♪豆乳プリン","ダイエットのために♪","ヘルシーなデザート♪","1000000017.jpg","豆乳プリン","ダイエット","プリン","ヘルシー","豆乳","ジャムを一緒に混ぜるといろいろな味を楽しめます♪調製豆乳で作り、食べる時に黒蜜ときな粉をかけてもGOOD♪","1","1,2,7","2","２","2010-10-01 00:00:00"
"1000000020","1000000113","おかず・おつまみ","鍋","おでん","我が家のおでん","寒くなると休みにおでんを多めにつくり毎日温めて食べています。","うどん汁を薄めて、お塩で味を調整して作ります。寒いときは、おでんを作り置きして、温めて食べます","1000000020.jpg","関東風おでん","秋の味覚レシピ2010","鍋","だんらん","","当日もおいしいが煮込むほどおいしくなります。","6","1","4","4","2010-10-03 00:00:00"
"1000000024","1000000137","おやつ","その他・創作おやつ","オリジナル・創作お菓子","冷凍ぶどうでシャーベット　","ぶどうがたくさんあったので","ぶどうがたくさんあったので。ポイントは洗わずに冷凍することです！","1000000024.jpg","冷凍ぶどう","ぶどう","冷凍","秋の味覚レシピ2010","簡単","洗わずに茎をつけたまま冷凍するのがポイント！","","","","好きなだけ","2010-10-04 00:00:00"
"1000000031","1000000171","お弁当","子供（キッズ）のお弁当","ごはんのお弁当","おつきみ弁当","幼稚園へ持っていく娘のお弁当に、秋らしさを取り入れました。","　楽しく、おいしく、季節を感じる、幼稚園児のお弁当を♪","1000000031.jpg","幼稚園児のお弁当","","","","","　お結びには好きな具を入れてOK。　うさぎのお鼻用のにんじんは小さいので、生でもヨシ。きんぴらやグラッセなどがあれば、そこから使うと楽。　お耳は、にんじん、赤色ウインナー、かまぼこなどでもヨシ。","","","","幼児１","2010-10-06 00:00:00"
